   No.   File  Line   Col. Cls.  Mthd.  Rep.  Tok.     Text
     0     0     1     1    -1    -1     0     121  STARTFILE D:\javasrc\java\nio\ByteBufferAsCharBufferB.java
     1     0    28     1    -1    -1     0       5  package
     2     0    28     9    -1    -1     0     111  java.nio
     3     0    28    17    -1    -1     0     102  ;
     4     0    31     1     0    -1     0     122  STARTCLASS
     5     0    31     1     0    -1     0      24  class
     6     0    31     7     0    -1     0     111  ByteBufferAsCharBufferB
     7     0    32     5     0    -1     0      38  extends
     8     0    32    13     0    -1     0     111  CharBuffer
     9     0    33     1     0    -1     0      63  {
    10     0    37     5     0    -1     0      23  protected
    11     0    37    15     0    -1     0       6  final
    12     0    37    21     0    -1     0     111  ByteBuffer
    13     0    37    32     0    -1     0     111  bb
    14     0    37    34     0    -1     0     102  ;
    15     0    38     5     0    -1     0      23  protected
    16     0    38    15     0    -1     0       6  final
    17     0    38    21     0    -1     0      36  int
    18     0    38    25     0    -1     0     111  offset
    19     0    38    31     0    -1     0     102  ;
    20     0    38    31     0     0     0     123  STARTMETHOD
    21     0    42     5     0     0     0     111  ByteBufferAsCharBufferB
    22     0    42    28     0     0     0      59  (
    23     0    42    29     0     0     0     111  ByteBuffer
    24     0    42    40     0     0     0     111  bb
    25     0    42    42     0     0     0      60  )
    26     0    42    44     0     0     0      63  {
    27     0    44     9     0     0     0      27  super
    28     0    44    14     0     0     0      59  (
    29     0    44    15     0     0     0      77  -
    30     0    44    16     0     0     0     112  1
    31     0    44    17     0     0     0      66  ,
    32     0    44    19     0     0     0     112  0
    33     0    44    20     0     0     0      66  ,
    34     0    45    15     0     0     0     111  bb.remaining
    35     0    45    27     0     0     0      59  (
    36     0    45    28     0     0     0      60  )
    37     0    45    30     0     0     0      84  >>
    38     0    45    33     0     0     0     112  1
    39     0    45    34     0     0     0      66  ,
    40     0    46    15     0     0     0     111  bb.remaining
    41     0    46    27     0     0     0      59  (
    42     0    46    28     0     0     0      60  )
